Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Cover Art
30298566,The Last Days of Night,Graham Moore,"Moore, Graham",,"=""""","=""""",0,4.14,Random House,Kindle Edition,370,2016,2016,,2019/07/11,to-read,to-read (#82),to-read,,,,0,0,
5544,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",Richard P. Feynman,"Feynman, Richard P.","Микола Климчук, 理查·費曼, 吳程遠","=""0393316041""","=""9780393316049""",0,4.26,W. W. Norton & Company,Paperback,391,1997,1985,,2019/07/10,to-read,to-read (#81),to-read,,,,0,0,
15789122,"Fry's English Delight: Series 1 (Fry's English Delight, #1)",Stephen Fry,"Fry, Stephen",,"=""1408409607""","=""9781408409602""",0,3.80,BBC Audiobooks,Audio CD,,2009,2009,,2019/07/10,to-read,to-read (#80),to-read,,,,0,0,
71292,"Asterix the Gaul (Asterix, #1)",René Goscinny,"Goscinny, René","Albert Uderzo, Anthea Bell, Derek Hockridge","=""0752866052""","=""9780752866055""",5,4.18,"Orion Books Ltd., London",Paperback,48,2004,1961,,2019/06/18,,,read,,,,1,0,
108713,Pimp: The Story of My Life,Iceberg Slim,"Slim, Iceberg",Sapphire,"=""0862415934""","=""9780862415938""",0,3.99,Payback Pr,Paperback,311,2002,1967,,2019/07/10,to-read,to-read (#79),to-read,,,,0,0,
13932,The Noonday Demon: An Atlas of Depression,Andrew Solomon,"Solomon, Andrew",Dana-Ligia Ilin,"=""0684854678""","=""9780684854670""",0,4.20,Scribner,Paperback,576,2002,2000,,2019/07/08,to-read,to-read (#78),to-read,,,,0,0,
5211,A Fine Balance,Rohinton Mistry,"Mistry, Rohinton",,"=""140003065X""","=""9781400030651""",5,4.36,Vintage,Paperback,603,2001,1995,2019/07/08,2019/06/19,,,read,,,,1,0,
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",0,4.39,Vintage,Paperback,512,2015,2011,,2019/07/08,to-read,to-read (#77),to-read,,,,0,0,
15843041,The Icarus Deception: How High Will You Fly?,Seth Godin,"Godin, Seth",,"=""1591846072""","=""9781591846079""",0,3.99,Portfolio,Hardcover,256,2012,2012,,2019/07/08,to-read,to-read (#76),to-read,,,,0,0,
36336078,"Call Me By Your Name (Call Me By Your Name, #1)",André Aciman,"Aciman, André",,"=""1786495252""","=""9781786495259""",0,4.13,Atlantic Books,Paperback,248,2017,2007,,2019/07/08,to-read,to-read (#75),to-read,,,,0,0,
5439,Interpreter of Maladies,Jhumpa Lahiri,"Lahiri, Jhumpa",,"=""0618101365""","=""9780618101368""",0,4.17,Houghton Mifflin Harcourt,Hardcover,198,2000,1999,,2019/07/08,to-read,to-read (#74),to-read,,,,0,0,
4138,Naked,David Sedaris,"Sedaris, David",,"=""""","=""""",0,4.08,Back Bay Books,Paperback,304,1998,1997,,2019/06/21,to-read,to-read (#72),to-read,,,,0,0,
4921,"Three Men in a Boat (Three Men, #1)",Jerome K. Jerome,"Jerome, Jerome K.",,"=""""","=""""",0,3.86,Penguin Books,Mass Market Paperback,185,1994,1889,,2019/06/21,to-read,to-read (#71),to-read,,,,0,0,
